47244640256,CONTROL_STRUCTURE,6,,"if (existingAliasName) {
      this.logger.error(`The aliasName ${aliasName} is already used and needs to be unique`);
      throw new ForbiddenException('aliasName is already in use', {
        cause: new Error(),
        description: `The aliasName ${aliasName} is already used and needs to be unique`,
      });
    }",4,IF,35,,,6,BabelNodeInfo
47244640257,CONTROL_STRUCTURE,8,,"if (!existingRole) {
      this.logger.error(`The role with id ${roleId} was not found`);
      throw new NotFoundException('Role not found', {
        cause: new Error(),
        description: `The role with id ${roleId} was not found`,
      });
    }",4,IF,44,,,8,BabelNodeInfo
47244640258,CONTROL_STRUCTURE,11,,"if (tenantRoleAlias && tenantRoleAlias.length > 0) {
      const newTenantRoleAliases = await this.tenantRoleAliasService.assignToRoleAlias({
        roleAliasToUpdate: newRoleAlias,
        tenantRoleAliasNew: tenantRoleAlias,
        roleId,
      });

      if (newTenantRoleAliases) {
        newRoleAlias.tenantRoleAlias = newTenantRoleAliases.map((tenantRoleAlias) => {
          delete tenantRoleAlias.roleAlias;
          return tenantRoleAlias;
        });
        await this.rolesAliasRepository.save(newRoleAlias);
      }
    }",4,IF,61,,,11,BabelNodeInfo
47244640259,CONTROL_STRUCTURE,2,,"if (newTenantRoleAliases) {
        newRoleAlias.tenantRoleAlias = newTenantRoleAliases.map((tenantRoleAlias) => {
          delete tenantRoleAlias.roleAlias;
          return tenantRoleAlias;
        });
        await this.rolesAliasRepository.save(newRoleAlias);
      }",6,IF,68,,,2,BabelNodeInfo
47244640260,CONTROL_STRUCTURE,4,,"if (ids && ids.length > 0) {
      query = query.andWhere('RoleAlias.id IN (:...ids) ', { ids });
    }",4,IF,115,,,4,BabelNodeInfo
47244640261,CONTROL_STRUCTURE,5,,"if (aliasNames) {
      query = query.andWhere('lower(RoleAlias.aliasName) IN (:...aliasNames) ', {
        aliasNames: aliasNames.map((alias) => alias.toLowerCase()),
      });
    }",4,IF,118,,,5,BabelNodeInfo
47244640262,CONTROL_STRUCTURE,6,,"if (descriptions) {
      query = query.andWhere('lower(RoleAlias.description) IN (:...descriptions) ', {
        descriptions: descriptions.map((desc) => desc.toLowerCase()),
      });
    }",4,IF,123,,,6,BabelNodeInfo
47244640263,CONTROL_STRUCTURE,7,,"if (roleIds) {
      query = query.andWhere('RoleAlias.role_id IN (:...roleIds) ', { roleIds });
    }",4,IF,128,,,7,BabelNodeInfo
47244640264,CONTROL_STRUCTURE,8,,"if (enabled != null) {
      query = query.andWhere('RoleAlias.enabled = :enabled ', { enabled });
    }",4,IF,131,,,8,BabelNodeInfo
47244640265,CONTROL_STRUCTURE,9,,"if (tenantRoleAlias && tenantRoleAlias.length > 0) {
      // query = query.andWhere('tenantRoleAlias.id IN (:...tenantRoleAlias)', { tenantRoleAlias });
      query = query.andWhere('tenantRoleAlias.tenant IN (:...tenantRoleAlias)', {
        tenantRoleAlias,
      });
    }",4,IF,134,,,9,BabelNodeInfo
47244640266,CONTROL_STRUCTURE,3,,"if (!roleAliasToUpdate) {
      this.logger.error(`The user with id ${id} was not found`);
      throw new NotFoundException('User not found', {
        cause: new Error(),
        description: `The user with id ${id} was not found`,
      });
    }",4,IF,155,,,3,BabelNodeInfo
47244640267,CONTROL_STRUCTURE,7,,"if (aliasName) {
      const existingAliasName = await this.rolesAliasRepository.findOneBy({ aliasName });
      if (existingAliasName && existingAliasName.id !== id) {
        this.logger.error(`The aliasName ${aliasName} is already used and needs to be unique`);
        throw new ForbiddenException('aliasName is already in use', {
          cause: new Error(),
          description: `The aliasName ${aliasName} is already used and needs to be unique`,
        });
      }
      roleAliasToUpdate.aliasName = aliasName;
    }",4,IF,165,,,7,BabelNodeInfo
47244640268,CONTROL_STRUCTURE,2,,"if (existingAliasName && existingAliasName.id !== id) {
        this.logger.error(`The aliasName ${aliasName} is already used and needs to be unique`);
        throw new ForbiddenException('aliasName is already in use', {
          cause: new Error(),
          description: `The aliasName ${aliasName} is already used and needs to be unique`,
        });
      }",6,IF,167,,,2,BabelNodeInfo
47244640269,CONTROL_STRUCTURE,8,,"if (roleId) {
      const existingRole = await this.rolesRepository.findOneBy({ id: roleId });
      if (!existingRole) {
        this.logger.error(`The role with id ${roleId} was not found`);
        throw new NotFoundException('Role not found', {
          cause: new Error(),
          description: `The role with id ${roleId} was not found`,
        });
      }
      roleAliasToUpdate.role = existingRole;
    }",4,IF,176,,,8,BabelNodeInfo
47244640270,CONTROL_STRUCTURE,2,,"if (!existingRole) {
        this.logger.error(`The role with id ${roleId} was not found`);
        throw new NotFoundException('Role not found', {
          cause: new Error(),
          description: `The role with id ${roleId} was not found`,
        });
      }",6,IF,178,,,2,BabelNodeInfo
47244640271,CONTROL_STRUCTURE,11,,"if (tenantRoleAlias || roleId) {
      const newTenantRoleAliases = await this.tenantRoleAliasService.assignToRoleAlias({
        roleAliasToUpdate,
        tenantRoleAliasNew: tenantRoleAlias,
        roleId,
      });

      if (newTenantRoleAliases) {
        roleAliasToUpdate.tenantRoleAlias = newTenantRoleAliases.map((tenantRoleAlias) => {
          delete tenantRoleAlias.roleAlias;
          return tenantRoleAlias;
        });
      }
    }",4,IF,196,,,11,BabelNodeInfo
