111669149696,METHOD,commitlint.config.js::program,TYPE_DECL,:program,0,0,commitlint.config.js,commitlint.config.js::program,<empty>,,false,1,2,:program,,,1,
111669149697,METHOD,src/app.controller.ts::program,TYPE_DECL,:program,0,0,src/app.controller.ts,src/app.controller.ts::program,<empty>,,false,1,15,:program,,,1,
111669149698,METHOD,<empty>,<empty>,constructor(private readonly appService: AppService) {},2,57,src/app.controller.ts,src/app.controller.ts::program:AppController:<init>,<empty>,,false,7,7,<init>,,,1,
111669149699,METHOD,<empty>,<empty>,"@Get()
  getHello() {
    this.logger.log('Calling service get Hello!');
    return this.appService.getHello();
  }",2,3,src/app.controller.ts,src/app.controller.ts::program:AppController:getHello,<empty>,,false,9,13,getHello,,,1,
111669149700,METHOD,src/app.module.ts::program,TYPE_DECL,:program,0,0,src/app.module.ts,src/app.module.ts::program,<empty>,,false,1,33,:program,,,1,
111669149701,METHOD,<empty>,<empty>,constructor() {},0,1,src/app.module.ts,src/app.module.ts::program:AppModule:<init>,<empty>,,false,15,32,<init>,,,1,
111669149702,METHOD,<empty>,<empty>,"configure(consumer: MiddlewareConsumer) {
    consumer.apply(CorrelationIdMiddleware).forRoutes('*');
  }",2,3,src/app.module.ts,src/app.module.ts::program:AppModule:configure,<empty>,,false,29,31,configure,,,1,
111669149703,METHOD,src/app.service.ts::program,TYPE_DECL,:program,0,0,src/app.service.ts,src/app.service.ts::program,<empty>,,false,1,12,:program,,,1,
111669149704,METHOD,<empty>,<empty>,constructor() {},0,1,src/app.service.ts,src/app.service.ts::program:AppService:<init>,<empty>,,false,3,11,<init>,,,1,
111669149705,METHOD,<empty>,<empty>,"getHello() {
    this.logger.log(`${AppService.name} called function ${this.getHello.name}`);
    return { message: `Service ${AppService.name} working !!` };
  }",2,3,src/app.service.ts,src/app.service.ts::program:AppService:getHello,<empty>,,false,7,10,getHello,,,1,
111669149706,METHOD,src/context/role-aliases/role-aliases.controller.ts::program,TYPE_DECL,:program,0,0,src/context/role-aliases/role-aliases.controller.ts,src/context/role-aliases/role-aliases.controller.ts::program,<empty>,,false,1,60,:program,,,1,
111669149707,METHOD,<empty>,<empty>,constructor(private readonly roleAliasesService: RoleAliasesService) {},2,73,src/context/role-aliases/role-aliases.controller.ts,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:<init>,<empty>,,false,11,11,<init>,,,1,
111669149708,METHOD,<empty>,<empty>,"@Post()
  async create(@Body() createRoleAliasDto: CreateRoleAliasDto) {
    this.logger.log('Creating new Role Alias ..');

    const newRole = await this.roleAliasesService.create(createRoleAliasDto);
    this.logger.log(`Created new Role Alias! id: ${newRole.id}.`);
    return newRole;
  }",2,3,src/context/role-aliases/role-aliases.controller.ts,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:create,<empty>,,false,14,21,create,,,1,
111669149709,METHOD,<empty>,<empty>,"@Get()
  async findAll() {
    this.logger.log('Finding All Roles Aliases...');
    return await this.roleAliasesService.findAll();
  }",2,3,src/context/role-aliases/role-aliases.controller.ts,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:findAll,<empty>,,false,23,27,findAll,,,1,
