103079215104,MEMBER,<empty>,<empty>,private readonly logger = new Logger(AppController.name);,2,,<empty>,6,logger,,,-1,ANY,@nestjs/common:Logger
103079215105,MEMBER,<empty>,<empty>,"@Get()
  getHello() {
    this.logger.log('Calling service get Hello!');
    return this.appService.getHello();
  }",2,src/app.controller.ts::program:AppController:getHello,<empty>,9,getHello,,,-1,{ message: __ecma.String; },ANY
103079215106,MEMBER,<empty>,<empty>,"configure(consumer: MiddlewareConsumer) {
    consumer.apply(CorrelationIdMiddleware).forRoutes('*');
  }",2,src/app.module.ts::program:AppModule:configure,<empty>,29,configure,,,-1,(consumer: MiddlewareConsumer) => ANY,ANY
103079215107,MEMBER,<empty>,<empty>,private readonly logger = new Logger(AppService.name);,2,,<empty>,5,logger,,,-1,ANY,@nestjs/common:Logger
103079215108,MEMBER,<empty>,<empty>,"getHello() {
    this.logger.log(`${AppService.name} called function ${this.getHello.name}`);
    return { message: `Service ${AppService.name} working !!` };
  }",2,src/app.service.ts::program:AppService:getHello,<empty>,7,getHello,,,-1,() => { message: __ecma.String; },ANY
103079215109,MEMBER,<empty>,<empty>,private readonly logger = new Logger(RoleAliasesController.name);,2,,<empty>,12,logger,,,-1,ANY,@nestjs/common:Logger
103079215110,MEMBER,<empty>,<empty>,"@Post()
  async create(@Body() createRoleAliasDto: CreateRoleAliasDto) {
    this.logger.log('Creating new Role Alias ..');

    const newRole = await this.roleAliasesService.create(createRoleAliasDto);
    this.logger.log(`Created new Role Alias! id: ${newRole.id}.`);
    return newRole;
  }",2,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:create,<empty>,14,create,,,-1,Promise<any>,ANY
103079215111,MEMBER,<empty>,<empty>,"@Get()
  async findAll() {
    this.logger.log('Finding All Roles Aliases...');
    return await this.roleAliasesService.findAll();
  }",2,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:findAll,<empty>,23,findAll,,,-1,Promise<RoleAlias[]>,ANY
103079215112,MEMBER,<empty>,<empty>,"@Get(':id')
  async findOne(@Param('id') id: string) {
    this.logger.log(`Searching for Role Alias with id: ${id}.`);
    const foundRoleAlias = await this.roleAliasesService.findOne(+id);
    this.logger.log(`Role Alias with id: ${id} was found.`);
    return foundRoleAlias;
  }",2,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:findOne,<empty>,29,findOne,,,-1,Promise<RoleAlias>,ANY
103079215113,MEMBER,<empty>,<empty>,"@Post('many/')
  async findMany(@Body() findRoleAliasDto: FindRoleAliasDto) {
    this.logger.log(`Searching for Role Aliases with many search args.`);
    const foundRoleAlias = await this.roleAliasesService.findByMany(findRoleAliasDto);
    this.logger.log(`found ${foundRoleAlias.length} Role Aliases.`);
    return foundRoleAlias;
  }",2,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:findMany,<empty>,36,findMany,,,-1,Promise<RoleAlias[]>,ANY
103079215114,MEMBER,<empty>,<empty>,"@Patch(':id')
  async update(@Param('id') id: string, @Body() updateRoleAliasDto: UpdateRoleAliasDto) {
    this.logger.log(`Updating role alias with id: ${id}.`);
    const foundRoleAlias = await this.roleAliasesService.update(+id, updateRoleAliasDto);
    this.logger.log(`Role alias with id: ${id} was updated.`);
    return foundRoleAlias;
  }",2,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController:update,<empty>,44,update,,,-1,Promise<any>,ANY
