94489280512,LOCAL,,_tmp_0,17,,<empty>,1,_tmp_0,,,0,,ANY
94489280513,LOCAL,,_tmp_1,28,,<empty>,1,_tmp_1,,,0,,__ecma.Array
94489280514,LOCAL,,_tmp_1,,,<empty>,,_tmp_1,,,0,,__ecma.Array
94489280515,LOCAL,,module,,,<empty>,,module,,,0,,{ exports: { extends: __ecma.String[]; }; }
94489280516,LOCAL,,Controller,0,,<empty>,1,Controller,,,0,,@nestjs/common:Controller
94489280517,LOCAL,,Get,0,,<empty>,1,Get,,,0,,@nestjs/common:Get
94489280518,LOCAL,,Logger,0,,<empty>,1,Logger,,,0,,@nestjs/common:Logger
94489280519,LOCAL,,AppService,0,,<empty>,2,AppService,,,0,,src/app.service.ts::program:AppService
94489280520,LOCAL,,_tmp_0,28,,<empty>,6,_tmp_0,,,0,,@nestjs/common:Logger
94489280521,LOCAL,,AppController,0,,<empty>,4,AppController,,,0,,src/app.controller.ts::program:AppController
94489280522,LOCAL,,_tmp_2,,src/app.service.ts::program:AppService;src/app:service:ts::program:AppService,<empty>,,_tmp_2,,,0,,src/app.service.ts::program:AppService
94489280523,LOCAL,,_tmp_1,,,<empty>,,_tmp_1,,,0,,@nestjs/common:Logger
94489280524,LOCAL,,_tmp_0,,,<empty>,,_tmp_0,,,0,,@nestjs/common:Logger
94489280525,LOCAL,,logger,,,<empty>,,logger,,,0,,@nestjs/common:Logger
94489280526,LOCAL,,pinoOptions,0,,<empty>,1,pinoOptions,,,0,,{ pinoHttp: { transport: { target: __ecma.String; options: { colorize: __ecma.Boolean; levelFirst: __ecma.Boolean; translateTime: __ecma.String; }; }; autoLogging: __ecma.Boolean; customProps: (req: Request) => { correlationId: Request; }; serializers: { req: () => ANY; res: () => ANY; }; }; }
94489280527,LOCAL,,TypeOrmModule,0,,<empty>,2,TypeOrmModule,,,0,,@nestjs/typeorm:TypeOrmModule
94489280528,LOCAL,,appPostgresDataSource,0,,<empty>,3,appPostgresDataSource,,,0,,TypeOrmModuleOptions
94489280529,LOCAL,,CorrelationIdMiddleware,0,src/shared/middleware/correlation-id/correlation-id.middleware.ts::program:CorrelationIdMiddleware;CorrelationIdMiddleware,<empty>,4,CorrelationIdMiddleware,,,0,,ANY
94489280530,LOCAL,,MiddlewareConsumer,0,,<empty>,5,MiddlewareConsumer,,,0,,@nestjs/common:MiddlewareConsumer
94489280531,LOCAL,,Module,0,,<empty>,5,Module,,,0,,@nestjs/common:Module
94489280532,LOCAL,,NestModule,0,,<empty>,5,NestModule,,,0,,@nestjs/common:NestModule
94489280533,LOCAL,,LoggerModule,0,,<empty>,6,LoggerModule,,,0,,nestjs-pino:LoggerModule
94489280534,LOCAL,,AppController,0,src/app.controller.ts::program:AppController;AppController,<empty>,7,AppController,,,0,,ANY
94489280535,LOCAL,,AppService,0,src/app.service.ts::program:AppService;AppService,<empty>,8,AppService,,,0,,ANY
94489280536,LOCAL,,UsersModule,0,src/context/users/users.module.ts::program:UsersModule;UsersModule,<empty>,9,UsersModule,,,0,,ANY
94489280537,LOCAL,,RolesModule,0,src/context/roles/roles.module.ts::program:RolesModule;RolesModule,<empty>,10,RolesModule,,,0,,ANY
94489280538,LOCAL,,RoleAliasesModule,0,src/context/role-aliases/role-aliases.module.ts::program:RoleAliasesModule;RoleAliasesModule,<empty>,11,RoleAliasesModule,,,0,,ANY
